"","ID","Lively","FullOfEnergy","Energetic","Happy","Pleased","Helpful","AtEase","Calm","Relaxed","Sad","Depressed","Unhappy","OnEdge","Nervous","Tense","Hostile","Resentful","Angry"
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,0.781935114318965,1.12091054226504,1.11407601325103,0.444951522490463,0.831642959313328,0.780912511334693,1.05062217649292,0.453899365109559,0.335112633328199,0.586479345652435,0,0.473430274947401,0.382902731025234,0.28477229424521,0.461504995298097,0.353665626033358,0.96474823224292,0.338606065246728
"26",26,2.08553619470796,1.13242517650091,1.18994836806108,2.02795695641768,2.00205364473377,1.39031089312753,1.5392448304369,1.01466139117702,1.00560340005718,0.465815704809383,0,0.775046396165076,0.716203602159405,0.405073214476357,0.76585859372076,0,0.520142970395106,0.243428788401752
"27",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,0.328274816955941,0.307069849394978,0.2580497445629,0.258198889747161,0.269916383371554,0.397578280122074,0.300886142788565,0.236080654457187,0.308022811026497,0.142817492327691,0,0,0.149071198499986,0.149071198499986,0,0,0.149071198499986,0
"33",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,1.03949774196752,2.15964406789639,1.22275872063498,0.441155364418883,2.34061364223621,0.795822425754225,0.904080257007706,1.36276118801336,0.896075548650275,0.533756342663329,0,0.447213595499963,0.149071198499986,1.00562653217893,0.365148371670115,0.220872638011643,1.34680692338914,0
"45",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,1.12734656112016,1.44431237092733,1.74261364047445,1.86615639284056,1.4069336377722,2.33140973048276,1.97354548015208,2.13553548876555,2.34321799112585,1.46512198894864,1.33451114159547,1.0824751777884,2.0936527706853,2.11117930771476,1.88269530890537,1.88843341371029,1.1067423019103,1.19520150633754
"50",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,1.25213646621587,1.82043110028325,1.36363636363636,1.03623515063892,2.18941941895628,0.881959098740901,1.1352924243951,1.66072936945413,0.964990155073006,0.275657657555458,0,0.718894927896542,1.32259125499645,0.492279543619702,0.458634803599941,0.484343171021932,0.783182976015841,0.275657657555458
"57",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,0.998344224710603,1.06730226850333,0.204595941378781,0.264120992611686,0.372922034367275,0.447089750371744,0.732162998074457,0.413781992551722,0.572755386050202,0.149071198499986,0,0.548873225048329,0.672800193572141,0.428174419288838,0.897260795559362,0,0.603104975708391,0
"61",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,1.54017515969566,3.15549498222012,4.11093438738311,1.68114962545853,3.19140052099687,1.77645984527456,1.33309706792547,1.30175392156532,0.48750062692352,5.73330550852292,1.22331820079284,3.75831359930444,1.82820568482121,0.976780562362869,4.13342614749848,0.149071198499986,0.149071198499986,0.298142396999972
"70",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,0.380970981688749,0.182574185835056,0.210818510677893,0.241522945769825,0.259540191706625,0.105409255338946,0.532942565177316,0.283823106098774,0.235702260395516,0.278886675511358,0,0.298142396999972,0.278886675511358,0.105409255338946,0.258198889747161,0.278886675511358,0.278886675511358,0.278886675511358
"72",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,2.413439735735,0.699205898780101,0.808901098808944,1.49071198499985,0.862096210723147,2.72029410174708,1.8324913891634,0.634404552160897,0.496903994999952,0.869226987360353,0.799691298464291,0.592129448643298,0.924294859692686,3.17280107581086,2.10290803941166,0.149071198499986,1.64504493540636,0
"74",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
