"","ID","Worried","Restless","Irritable","Sad","Tired"
"1",1,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA
"7",7,0.138989674196723,0.14723547164293,0.167482475155126,0.255903250900064,0.0039228407630038
"8",8,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA
"10",10,0.210613099857462,0.145068260074418,0.159805377859989,0.16719314109875,0.250429417778558
"11",11,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA
"15",15,0.0229450929175001,0.131600695058473,0.19659277628327,0.19014678635939,0.246845111161706
"16",16,NA,NA,NA,NA,NA
"17",17,0.146129717037834,0.143629042756299,0.152722026299239,0.0828312324893582,0.276861983656673
"18",18,NA,NA,NA,NA,NA
"19",19,0.168826152987685,0.167639541949403,0.157338365566479,0.134671473516234,0.0701433375064471
"20",20,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA
"22",22,0.135243139029257,0.154099567336274,0.162711217851223,0.0740341642505168,0.188839471840257
"23",23,0.182854147395362,0.295662185990584,0.174056651960332,0.302677944519033,0.368764127596015
"24",24,0.0448562860462056,0.0199598848172149,0.033642214534654,0.0346914247336415,0.228175349857046
"25",25,0.243613151675355,0.184831434330574,0.193638231677539,0.157070055063915,0.119115178939791
"26",26,NA,NA,NA,NA,NA
"27",27,0.121003392455396,0.112218262663224,0.270573176730157,0.102740083061394,0.179619068259952
"28",28,0.0400469179808896,0.040722729096721,0.107038046009855,0.0680792125611305,0.18338550742081
"29",29,NA,NA,NA,NA,NA
"30",30,0.00205119000606303,0.0196171323478438,0.0209876310210926,0.0146971590075695,0.0405477266452569
"31",31,0.0400425800177635,0.0407096691603048,0.106998576832708,0.0679544178547664,0.183340688150568
"32",32,0.18468664134002,0.303630531962878,0.294031266197651,0.247069219364552,0.252592982614125
"33",33,NA,NA,NA,NA,NA
"34",34,NA,NA,NA,NA,NA
"35",35,NA,NA,NA,NA,NA
"36",36,NA,NA,NA,NA,NA
"37",37,NA,NA,NA,NA,NA
"38",38,0.128088571535584,0.146490320975535,0.0105529193142188,0.206418714085386,0.176773397485216
"39",39,NA,NA,NA,NA,NA
"40",40,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA
"42",42,NA,NA,NA,NA,NA
"43",43,NA,NA,NA,NA,NA
"44",44,NA,NA,NA,NA,NA
"45",45,NA,NA,NA,NA,NA
"46",46,NA,NA,NA,NA,NA
"47",47,NA,NA,NA,NA,NA
"48",48,NA,NA,NA,NA,NA
"49",49,NA,NA,NA,NA,NA
"50",50,0.0451927263111901,0.110696438084696,0.185749012763404,0.12154098455642,0.198512348243057
"51",51,NA,NA,NA,NA,NA
"52",52,NA,NA,NA,NA,NA
"53",53,NA,NA,NA,NA,NA
"54",54,NA,NA,NA,NA,NA
"55",55,NA,NA,NA,NA,NA
"56",56,NA,NA,NA,NA,NA
"57",57,NA,NA,NA,NA,NA
"58",58,NA,NA,NA,NA,NA
"59",59,NA,NA,NA,NA,NA
