"","ID","Anxious","Guilty","Depressed","Confident","Happy","Inspired"
"1",1,0.182677034875461,0.242476877723687,0.180507259507801,0.162687247088934,0.206066086748797,0.0896471813594997
"2",3,0.0529660292229447,0.0601307094942706,0.0824568446999889,0.085184978069154,0.0805909143243592,0.0355810927853355
"3",4,0.112016291397841,0.162341419025551,0.259750245648965,0.16822764133484,0.236149857587435,0.287913813715386
"4",5,0.24639637731852,0.160275399818151,0.216072767050366,0.269141590767192,0.1188734463944,0.2078912321588
"5",7,0.277965149807068,0.0755192545781902,0.19424568201107,0.19654763445452,0.341802162072437,0.200280568549092
"6",8,0.108459145610238,0.118872675965923,0.18100976336891,0.0741587735593894,0.0475791930431792,0.12859281240421
"7",11,0.067335416604552,0.114736500576258,0.0607610064479368,0.0729432594990862,0.0566838153442882,0.0323297736519991
"8",12,0.166825588914494,0.2314010857177,0.164438547734945,0.172753078349901,0.116496894955448,0.111798347172512
"9",13,0.167260190795209,0.069309856563334,0.0830216916604203,0.152603303487669,0.151954596021918,0.107332422569016
"10",14,0.123792636446325,0.180618505551054,0.0841210619342294,0.115878179469876,0.0803858677189497,0.221813835351457
"11",15,0.25199770233723,0.22525730771938,0.138699588359259,0.105425109145295,0.0825110453366919,0.0319087281958755
"12",16,0.179221331553788,0.0548635793532238,0.209325938785703,0.216974797955802,0.199219996686642,0.159980726904603
"13",18,0.19066973420744,0.161643505527446,0.247968024779492,0.21966958189516,0.220780861096526,0.210225282748405
"14",20,0.124459391496416,0.18524163950632,0.174085259805098,0.0624638983224283,0.0663910462266548,0.157277403221846
"15",21,0.166250079075456,0.113131898216073,0.158957185751047,0.178696669579243,0.207952142700598,0.125169581372928
"16",22,0.192993835622689,0.0769221435454433,0.0856701653464856,0.131670652733923,0.134219789697297,0.153437376400175
"17",23,0.065529561558023,0.0454694762666965,0.0728468333281873,0.0237936050412345,0.133078077378544,0.047470919626536
"18",24,0.0408796776361043,0.0805695834597913,0.103353339514788,0.0681024926747847,0.0821961746904217,0.0586031567528645
"19",25,0.128466627353355,0.0985878294265063,0.0354209975703782,0.0405319546985568,0.092794973058157,0.0976243051548253
"20",27,0.177664322691632,0.194718774869056,0.254544620194354,0.22528505868718,0.163449401399033,0.137311950471555
"21",28,0.234676034735875,0.0243910586794028,0.184226232723955,0.097043838646038,0.0760508580926189,0.0977966575426256
"22",29,0.145415235102174,0.120955344547269,0.153720626058164,0.145457031742604,0.0853155141445683,0.242483399704295
"23",30,0.200440546991113,0.237177259450081,0.158877617654054,0.187818084743054,0.177095670235278,0.148770185203679
"24",31,0.1166057708081,0.0459362378856647,0.201221920700241,0.0335151351798178,0.0454841329425529,0.0939065171312264
"25",32,0.0496738112271101,0.056541030474435,0.0993546869112446,0.224245054474289,0.0629930151008486,0.0599969132855161
"26",33,0.0819173616513874,0.0659438509213381,0.0471878710296601,0.0161985802014384,0.0301852136425476,0.0214441525347219
"27",34,0.0429772636168411,0.0437325648933015,0.0260214224823438,0.217190541642145,0.0875931655981086,0.107711715679451
"28",35,0.0189741991857924,0.00977044689404296,0.0524493429880944,0.224084433093049,0.0523494001380067,0.0491202950651423
