"","ID","Anxious","Guilty","Depressed","Confident","Happy","Inspired"
"1",1,0.18794461071304,0.261601826718739,0.189868313471974,0.150801084551844,0.187096633189611,0.116863983825074
"2",3,0.0725914739886608,0.0659405121610167,0.0711397683565873,0.040846167863622,0.097174323392254,0.06281853099183
"3",4,0.121607466288849,0.195213054966447,0.117382568678184,0.192278470364178,0.167797411571392,0.232144831335016
"4",5,0.217986211497206,0.143046485585106,0.218021493215407,0.107232555853375,0.161328806795522,0.153492253089501
"5",7,0.305059060005192,0.0860173092661242,0.209800284374293,0.155676089815479,0.294000163563466,0.189668269329013
"6",8,0.0428804029470149,0.129669239173816,0.227032211926361,0.116026384966994,0.0737338953400098,0.174493336100053
"7",11,0.138600595826186,0.159490741690936,0.0463627729471887,0.122736638927297,0.0904521091774792,0.0852184036461064
"8",12,0.171556279628001,0.219919344391404,0.154115440845577,0.161865483141699,0.109854688488247,0.100039764808141
"9",13,0.173907791859178,0.075770794541741,0.081329857477358,0.130316971458699,0.154051916631814,0.110903856948933
"10",14,0.0558191748087505,0.270891132085064,0.077542784302941,0.175948173363649,0.0902894131018239,0.311772541335927
"11",15,0.359638652230121,0.170112244590237,0.190105469462611,0.185697365730299,0.13224156868545,0.0677754308489507
"12",16,0.0853299687915322,0.0631119250506827,0.201314719329876,0.184190372709698,0.170372980722809,0.192458119118128
"13",18,0.140428665103203,0.119150572837156,0.301670889434992,0.357632580502787,0.219066207834078,0.171886366303949
"14",20,0.118933515475263,0.0655469255180084,0.185324257999572,0.0828469630827139,0.131257687439071,0.168430459936861
"15",21,0.176264627809319,0.124469323204538,0.145560438357855,0.171338704657031,0.201673900530723,0.134992976680471
"16",22,0.35454446139333,0.116419928518676,0.0611169513805625,0.0972017939760488,0.215644575872295,0.189581888267507
"17",23,0.0309561109751787,0.0515584492569281,0.0443181833610868,0.0306772872962487,0.12792444417677,0.0423370385949564
"18",24,0.0686740042313857,0.0643055088578625,0.0981198339501299,0.0677283254846444,0.0860396020753084,0.0756876608052066
"19",25,NA,NA,NA,NA,NA,NA
"20",27,0.184431465345547,0.326097389489421,0.286562468575757,0.201171833324871,0.113096056981741,0.111698535116373
